product_name,description,price,image-src,on_sale_price,platform
Back 4 Blood,"Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. You are at the center of a war against the Ridden. These once-human hosts of a deadly parasite have turned into terrifying creatures bent on devouring what remains of civilization. With humanity’s extinction on the line, it’s up to you and your friends to take the fight to the enemy, eradicate the Ridden, and reclaim the world.
Cooperative Campaign
Fight your way through a dynamic, perilous world in a 4-player co-op story campaign where you must work together to survive increasingly challenging missions. Play with up to 3 of your friends online or go solo and lead your team in battle.
Choose from 8 customizable Cleaners, one of the immune survivors, and a range of lethal weapons and items. Strategize against an ever-evolving enemy bent on your total destruction.
Competitive Multiplayer
Play with or against friends in PVP. Become a Cleaner with special perks or switch sides and play as the horrific Ridden. Both sides come with unique weapons, abilities, and specialties.
Extreme Replayability
A new """"roguelike"""" card system creates different experiences each and every time, putting you in control to craft custom decks, roll different builds and undertake more demanding fights.
The Dynamic Game Director is constantly adjusting to player actions, ensuring exciting fights, extreme gameplay diversity, and tougher legions of Ridden - including mutated boss types up to 20 feet tall.",19.99,https://static-ca.gamestop.ca/images/products/758345/3max.jpg,,PS5
The Dark Pictures: House of Ashes,"The Dark Pictures AnthologyThe Dark Pictures Anthology is a series of intense, stand-alone cinematic horror games combined with powerful storytelling and unique multiplayer modes.Each new game is influenced by real world events either fact, fiction or legend and features a completely new story, setting and cast of characters. Each new game in The Dark Pictures Anthology will deliver a new cinematic horror experience playable in single and multiplayer including Shared Story playable with a friend online and Movie Night mode where up to 5 players can play together off-line and pass-the-pad.House of AshesAt the close of the Iraq War, Special Forces hunting for weapons of mass destruction unearth something far deadlier – a buried Sumerian temple containing a nest of ancient and unearthly creatures. To survive the night below, they must forge a brotherhood with their enemies from the world above.DESCEND IN THE DARK ABYSSNavigate a subterranean labyrinth and escape the unearthly creatures that have found a new prey to huntTHE ENEMY OF YOUR ENEMY…Will you prioritize your own survival, or will you put aside your fears and personal rivalries to fight together as one?DON'T PLAY ALONEPlay online with a friend or up to 5 friends offline, share your story and cooperate wisely to save your cast…",24.99,https://static-ca.gamestop.ca/images/products/757970/3max.jpg,19.99,PS5
Demon Slayer - The Hinokami Chronicles,"WALK THE PATH OF A DEMON SLAYER
In Taisho-era Japan, Tanjiro Kamado's peaceful life is shattered when he returns home to find his entire family slaughtered by a demon. The only survivor is Nezuko, his little sister who has herself been transformed into a demon. Devastated, Tanjiro sets out to walk the path of a “Demon Slayer” to reverse his sister’s transformation and destroy the demon who threatens all of humanity.
A story of a brother and sister, and of man and demon, now begins…

UNLEASH YOUR INNER DEMON SLAYER IN THE OFFICIAL GAME OF THE ANIME PHENOMENON
Take the mantle of Tanjiro Kamado and his allies to fight back the demon threat and prove your mettle to the Demon Slayer Corps. The captivating stories of the TV series and movie are faithfully captured, and the battles transformed into thrilling arena fights!
Product Features

Exhilarating Arena Battles – Master the multitude of spectacular skills of a wide roster of Demon Slayers—and one demon—to overcome challengers in head-to-head battle, locally and online.
Moving Drama – Take up the sword of Tanjiro Kamado and guide his journey to become a Demon Slayer and restore his sister Nezuko’s lost humanity.
High-intensity Boss Battles – Action and drama reach their peak in specially designed battles against the anime’s memorable demon antagonists.
Breathtaking Visual Style – Demon Slayer’s celebrated art and animation are beautifully recreated to bring players deeper into the world.
Original Anime Voice Cast – The original English and Japanese casts of the anime return to bring their authentic portrayals to the game.",79.99,https://static-ca.gamestop.ca/images/products/762082/3max.jpg,65.99,PS5
Fortnite Minty Legends Pack,,29.99,https://static-ca.gamestop.ca/images/products/764586/3max.jpg,,PS5
Just Dance 2022,"PRODUCT DESCRIPTION:
Just Dance 2022, the ultimate dance game, is back with new universes and 40 hot new tracks from chart-topping hits like ""Believer"" by Imagine Dragons, ""Level Up"" by Ciara, and more!
Looking to share some fun with friends and family? Just Dance 2022 is for you!
FEATURES: 

Exercise while having fun and start your own your routine with Sweat mode.
Team up with your friends and rule the dance floor in Co-op mode.
Engage the little ones with eight kid-friendly songs and choreographies with Kids mode.
Join more than 138 million players around the world and dance it out!
Use your smartphone to track moves with the Just Dance Controller app – no additional accessories required!",14.99,https://static-ca.gamestop.ca/images/products/761531/3max.jpg,,PS5
Battlefield 2042,"Pre-order* Battlefield™ 2042 now and get:  Early Access to Open Beta Baku ACB-90 melee takedown knife “Mr. Chompy” Epic Weapon Charm ""Landfall"" Player Card Background + ""Old Guard"" Tag  Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. In a near-future world transformed by disorder, adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal. Battlefield™ 2042 brings unprecedented scale on vast battlegrounds across the globe. Players will take on several massive experiences, from updated multiplayer modes like Conquest and Breakthrough to the all-new Hazard Zone. *CONDITIONS AND RESTRICTIONS APPLY. SEE https://www.ea.com/games/battlefield/battlefield-2042/disclaimers FOR DETAILS. NO WEAPON, VEHICLE OR GEAR MANUFACTURER IS AFFILIATED WITH OR HAS SPONSORED OR ENDORSED THIS GAME. 
 Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. In a near-future world transformed by disorder, adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal. With support for 128 players*, Battlefield™ 2042 brings unprecedented scale on vast environments across the globe. Players will take on several massive experiences, from updated multiplayer modes like Conquest and Breakthrough to the all-new Hazard Zone. A World Transformed by Disorder
In 2042, extreme weather events and resource conflicts have shifted the balance of global power. The United States and Russia stand at the brink of war, while a mix of Non-Patriated combat veterans form independent groups known as Task Forces. Fight to define the future in this never-before-seen theater of war. 
128 Simultaneous Players
For the first time in Battlefield’s history, 128 players can join the all-out war at the same time*. This colossal player count equals entirely new gameplay opportunities and epic Battlefield moments. Now more than ever, feel the intensity of taking part in massive-scale battles where anything can happen.
*Supported on Xbox Series X|S, PlayStation®5, and PC only. Xbox One and PlayStation®4 will be locked at 64 players. 
Vast and Dynamic Environments
Get an even greater sense of spectacular, large-scale war on seven massive maps – crafted through a revamped design philosophy. Each battlefield has multiple distinct combat areas housed in a single playspace and this extra space means more variety and more meaningful vehicle gameplay – tanks have more space to roam, fighter jets have more airspace to maneuver. On these maps, you'll experience ever-changing battle conditions and gameplay challenges. Adapt on-the-fly to dynamic events and disasters, such as sandstorms in the deserts of Qatar, a rocket launching from French Guiana’s Space Centre, and tornadoes threatening South Korea’s concrete jungles. 
Specialists
Choose your role on the battlefield and form hand-tailored squads through the new Specialist system. Based on Battlefield’s four Classes, Specialists have one unique Specialty and Trait – but the rest of the loadout is fully customizable. Choosing and equipping your Specialist allows you to build synergies within your squad and empower yourself to take on any battle situation. 
A Cutting-Edge Arsenal
Unleash your combat creativity through a full roster of cutting-edge weapons, vehicles, jets, helis, and all-new equipment inspired by the near-future of 2042. Summon the Ranger, a robotic dog built for battle, use the Syrette Pistol to revive squad members from afar, employ a grappling hook to reach new places, don a wingsuit, deploy a recon drone, and more. 
New Seasons, New Content
You and the community will progress in Battlefield™ 2042 through a Season system, which will continuously bring fresh updates to the game. Themed around new narratives, Seasons will bring content like Specialist soldiers, locations, weapons, and vehicles. Those who want to take their Battlefield™ 2042 journey further can purchase the Year 1 Pass and secure 4 New Specialists, 4 Battle Passes, and 3 Epic Skin Bundles (”Blistered Earth”, ”Tempest”, and ”Cold Blood”). ©2021 Electronic Arts Inc. Battlefield and Battlefield™ 2042 are trademarks of Electronic Arts Inc.
CONDITIONS AND RESTRICTIONS APPLY. SEE https://www.ea.com/games/battlefield/battlefield-2042/disclaimers FOR DETAILS. NO WEAPON, VEHICLE OR GEAR MANUFACTURER IS AFFILIATED WITH OR HAS SPONSORED OR ENDORSED THIS GAME.",24.99,https://static-ca.gamestop.ca/images/products/761559/3max.jpg,22.99,PS5
The Smurfs Mission Vileaf,"Once again, our beloved Smurf friends have to find a way to elude Gargamel’s evil plans! In his dark laboratory, the evil wizard Gargamel has discovered a formula allowing him to create a wicked plant, called Vileaf. This plant produces “Viletrap” seeds, which can attract Smurfs and imprison them in vegetal traps! But these Viletrap plants are also a great danger for the forest, as they are highly toxic, especially for the sarsaparilla fields!
For this very important mission, players will take control of an ace Smurf team featuring Hefty, Smurfette, Brainy and Chef! Our heroes can rely upon a very handy tool, the Smurfizer, a revolutionary invention from Handy Smurf. The Smurfizer allows the Smurfs to get rid of the foes they encounter, heal the plants afflicted by the Vileaf, as well as jump higher, glide through the air or dive.
Key Features:

Embark on a brand-new journey with a unique and easy to pick up gameplay. The Smurfs – Mission Vileaf will appeal to all gamer profiles, fans of the cute characters, or 3D platformer aficionados, would they be beginners or experienced players.
A one-of-a-kind roster! Take control of 4 emblematic Smurfs: Smurfette, Hefty, Brainy and Chef.
The Smurfizer - a very smurful tool! Your do-it-all Smurfizer will not only allow you to heal the corrupted plants but also facilitate your progression through the game thanks to its multiple functions! Jump higher, glide, dive, and overcome all the obstacles you’ll encounter!
A platform Adventure game with a capital A! Explore each corner of the 5 worlds and find your way through the levels to collect all the ingredients to prepare the antidote the forest desperately needs!
Bring the Smurfs’ village back to life! Find useful items along the way to upgrade your Smurfizer and work towards bringing the Smurf village back to its former glory!",39.99,https://static-ca.gamestop.ca/images/products/765030/3max.jpg,29.99,PS5
Among Us Crewmate Edition,"Join your crewmates in a multiplayer game of teamwork and betrayal!Play online or over local wifi with 4-15 players as you attempt to hold your spaceship together and return back to civilization. But beware...as there may be an alien impostor aboard!One crewmate has been replaced by a parasitic shapeshifter. Their goal is to eliminate the rest of the crew before the ship reaches home. The Impostor will sabotage the ship, sneak through vents, deceive, and frame others to remain anonymous and kill off the crew.While everyone is fixing up the ship, no one can talk to maintain anonymity. Once a body is reported, the surviving crew will openly debate who they think The Impostor is. The Impostor's goal is to pretend that they are a member of the crew. If The Impostor is not voted off, everyone goes back to maintaining the ship until another body is found. If The Impostor is voted off, the crew wins!Life as a Crewmate: Complete all your tasks on the ship to win, but watch out for Impostors! Report dead bodies and call emergency meetings to vote the Impostors out. Hope you chose correctly!Play as an Impostor: Cause chaos, sneak around, and frame innocent bystanders! Winning involves killing off every Crewmate - think you’re a master of sabotage?Customization: Choose how you want to play! Add more impostors, tasks, decrease visibility and more. All in style as you get to choose your favorite color, outfit, and hat.


Among Us: Crewmate Edition Includes:

Among Us base game and all of the DLC items: Airship, Polus and MIRA HQ Skins, and Hamster Pet, Bedcrab Pet, Brainslug Pet, Stickmin Pet, and Mini Crewmate bundles.
Retail Exclusive ""Innersloth Cosmicube” featuring cosmetics from prototypes we made that never became full-fledged games, this cube holds all the secrets of the Innersloth team
3D Lenticular Case by Hannako Lambert at Dual Wield Studio
Impostor Syndrome Sticker Sheet by Alyssa Herman
1 of 12 Special Mira HQ Holographic Access Cards by Hannako Lambert at Dual Wield Studio
Folded Skeld Map Poster designed by Cannon Kissane
Redeemable Code for 6 PC/Phone Wallpapers by Amy Liu at Innersloth",29.99,https://static-ca.gamestop.ca/images/products/762619/3max.jpg,24.99,PS5
Tom Clancy’s Rainbow Six Extraction - PS5,"*Offer and dates subject to change. Restrictions apply, including availability, technical and content restrictions. Buddy Pass features may differ. Void where prohibited.

For decades, Team Rainbow has been the shield against the worst global threats imaginable. Now, we face the greatest terror yet: a lethal, mutating alien parasite.
FEATURES: 

Includes Buddy Pass: Invite 2 friends to play with you for FREE for 14 days.
Play alone or with friends from any platform in this 1- to 3-player co-op PvE FPS.
69 guns, 25 gadgets, 18 operators with progression levels, 12 large dynamic maps, 13 mutating enemies, and free post-launch content.
Test your skills with 4 adjustable difficulty levels and a thrilling Endgame ranked mode.
Tom Clancy's Rainbow Six Siege Players: Get 4 EXCLUSIVE Epic gearsets across both games and instantly unlock all 18 Tom Clancy's Rainbow Six Extraction operators in Tom Clancy's Rainbow Six Siege.",39.99,https://static-ca.gamestop.ca/images/products/761523/3max.jpg,32.99,PS5
UNCHARTED™: Legacy of Thieves Collection – PlayStation 5,"Seek your fortune and leave your mark on the map in the UNCHARTED™: Legacy of Thieves Collection. Uncover the thrilling cinematic storytelling and the largest blockbuster action set pieces in the UNCHARTED franchise, packed with all the wit, cunning, and over the top moments of the beloved thieves – Nathan Drake and Chloe Frazer.
In an experience delivered by award winning developer Naughty Dog, the UNCHARTEDTM: Legacy of Thieves Collection includes the two critically-acclaimed, globe-trotting single player adventures from UNCHARTED™ 4: A Thief’s End and UNCHARTED™: The Lost Legacy. Each story is filled with laughs, drama, high octane combat, and a sense of wonder – remastered to be even more immersive. 
Live the adventure like never before with the features and incredible speed of the PlayStation®5 console. The award-winning fidelity and detail from the developers at Naughty Dog is made even more stunning with improved visuals and framerate. Feel the blockbuster action of the UNCHARTED franchise with the DualSense™ wireless controller’s haptic feedback and adaptive triggers.
UNCHARTEDTM 4: A Thief’s End
Winner of over 150 Game of the Year awards.
Several years after his last adventure, retired fortune hunter Nathan Drake, is forced back into the world of thieves. Fate comes calling when Sam, Drake’s presumed dead brother, resurfaces seeking his help to save his own life and offering an adventure Drake can’t resist. Drake’s greatest adventure will test his physical limits, his resolve, and ultimately what he’s willing to sacrifice to save the ones he loves.
On the hunt for Captain Henry Avery’s long-lost treasure, Sam and Drake set off to find Libertalia, the pirate utopia deep in the forests of Madagascar – leading to a journey around the globe through jungle isles, far-flung cities, and snow capped peaks on the search for Avery’s fortune.
? A globe-trotting adventure with the largest and most detailed environments in the UNCHARTED franchise
? A more personal story for Nathan Drake, raising the stakes for the award-winning storytelling of Naughty Dog.
? Fluid combat and traversal with the use of the grapple hook creates even more dynamic and thrilling action set pieces.
 UNCHARTED TM : The Lost Legacy
In order to recover an ancient artifact and keep it out of the hands of a ruthless warmonger, Chloe Frazer must enlist the aid of renowned mercenary Nadine Ross and venture to India’s Western Ghats to locate the Golden Tusk of Ganesh. In Chloe’s greatest journey yet, she must confront her past and decide what she’s willing to sacrifice to forge her own legacy.
? An all-new setting for adventure in the south western coast of the Indian peninsula, featuring an exotic mix of urban, jungle, and ancient ruins environments.
? The action-packed set pieces and captivating narrative that fans have come to expect from Naughty Dog and the UNCHARTED series.
? Builds on the acclaimed UNCHARTED franchise gameplay with updated systems and refinements, including cinematic combat, exploration, and traversal of jaw-dropping environments, complex puzzles and more.",64.99,https://static-ca.gamestop.ca/images/products/765725/3max.jpg,49.99,PS5
Dying Light 2 Stay Human,"Over twenty years ago in Harran, we fought the virus—and lost. Now, we’re losing again. The City, one of the last large human settlements, is torn by conflict. Civilization has fallen back into the Dark Ages. And yet, we still have hope.
You are a wanderer with the power to change the fate of The City. But your exceptional abilities come at a price. Haunted by memories you cannot decipher, you set out to learn the truth… and find yourself in a combat zone. Hone your skills, as to defeat your enemies and make allies, you’ll need both fists and wits. Unravel the dark secrets behind the wielders of power, choose sides and decide your destiny. But wherever your actions take you, there's one thing you can never forget—stay human.

VAST OPEN WORLD - Participate in the life of a city engulfed in a new dark era. Discover different paths and hidden passages, as you explore its multiple levels and locations.
CREATIVE & BRUTAL COMBAT - Take advantage of your parkour skills to tip the scales of even the most brutal encounter. Clever thinking, traps and creative weapons will be your best friends.
DAY AND NIGHT CYCLE - Wait for night to venture into dark hideouts of the Infected. Sunlight keeps them at bay, but once it’s gone, monsters begin the hunt, leaving their lairs free to explore.
CHOICES & CONSEQUENCES - Shape the future of The City with your actions and watch how it changes. Determine the balance of power by making choices in a growing conflict and forge your own experience.
2-4 PLAYER CO-OP GAMEPLAY - Play in up to four-player co-op. Host your own games or join others and see how their choices have played out differently than yours.


** Dying Light ® 2 © Techland S.A. Published and developed by Techland S.A. All trademarks, copyrights and logos are property of their respective owners. All rights reserved.",79.99,https://static-ca.gamestop.ca/images/products/761125/3max.jpg,65.99,PS5
